xx x xxxxxxxxxxxxxxxx
00 1 xxxxxxxxxxxxxxxx
00 1 xxxxxxxxxxxxxxxx
00 1 xxxxxxxxxxxxxxxx
01 1 xxxxxxxxxxxxxxxx
01 1 xxxxxxxxxxxxxxxx
01 1 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
10 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
11 0 xxxxxxxxxxxxxxxx
